suite	core	model	case	opcode	mnemonic	mode	legality	status	detail
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$00	BRK	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$01	ORA	(zero page,X)	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$02	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$03	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$04	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$05	ORA	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$06	ASL	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$07	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$08	PHP	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$09	ORA	immediate	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$0A	ASL	accumulator	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$0B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$0C	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$0D	ORA	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$0E	ASL	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$0F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$10	BPL	relative	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$11	ORA	(zero page),Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$12	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$13	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$14	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$15	ORA	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$16	ASL	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$17	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$18	CLC	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$19	ORA	absolute,Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$1A	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$1B	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$1C	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$1D	ORA	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$1E	ASL	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$1F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$20	JSR	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$21	AND	(zero page,X)	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$22	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$23	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$24	BIT	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$25	AND	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$26	ROL	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$27	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$28	PLP	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$29	AND	immediate	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$2A	ROL	accumulator	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$2B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$2C	BIT	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$2D	AND	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$2E	ROL	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$2F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$30	BMI	relative	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$31	AND	(zero page),Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$32	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$33	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$34	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$35	AND	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$36	ROL	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$37	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$38	SEC	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$39	AND	absolute,Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$3A	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$3B	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$3C	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$3D	AND	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$3E	ROL	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$3F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$40	RTI	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$41	EOR	(zero page,X)	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$42	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$43	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$44	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$45	EOR	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$46	LSR	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$47	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$48	PHA	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$49	EOR	immediate	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$4A	LSR	accumulator	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$4B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$4C	JMP	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$4D	EOR	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$4E	LSR	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$4F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$50	BVC	relative	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$51	EOR	(zero page),Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$52	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$53	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$54	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$55	EOR	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$56	LSR	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$57	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$58	CLI	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$59	EOR	absolute,Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$5A	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$5B	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$5C	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$5D	EOR	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$5E	LSR	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$5F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$60	RTS	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$61	ADC	(zero page,X)	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$62	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$63	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$64	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$65	ADC	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$66	ROR	zero page	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$67	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$68	PLA	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$69	ADC	immediate	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$6A	ROR	accumulator	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$6B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$6C	JMP	indirect	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$6D	ADC	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$6E	ROR	absolute	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$6F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$70	BVS	relative	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$71	ADC	(zero page),Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$72	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$73	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$74	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$75	ADC	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$76	ROR	zero page,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$77	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$78	SEI	implied	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$79	ADC	absolute,Y	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$7A	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$7B	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$7C	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$7D	ADC	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$7E	ROR	absolute,X	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$7F	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$80	???	illegal	illegal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$81	STA	(zero page,X)	legal	pass	
opcode_sweep	sflib6502	NMOS	first_reset_nmi_before_opcode	$82	???	illegal	illegal	pass	
