suite	core	model	case	opcode	mnemonic	mode	legality	status	detail	failure_class
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$00	BRK	implied	legal	pass		none
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$01	ORA	(zero page,X)	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$02	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$03	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$04	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$05	ORA	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$06	ASL	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$07	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$08	PHP	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$09	ORA	immediate	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$0A	ASL	accumulator	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$0B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$0C	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$0D	ORA	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$0E	ASL	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$0F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$10	BPL	relative	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$11	ORA	(zero page),Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$12	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$13	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$14	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$15	ORA	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$16	ASL	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$17	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$18	CLC	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$19	ORA	absolute,Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$1A	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$1B	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$1C	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$1D	ORA	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$1E	ASL	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$1F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$20	JSR	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$21	AND	(zero page,X)	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$22	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$23	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$24	BIT	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$25	AND	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$26	ROL	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$27	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$28	PLP	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$29	AND	immediate	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$2A	ROL	accumulator	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$2B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$2C	BIT	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$2D	AND	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$2E	ROL	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$2F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$30	BMI	relative	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$31	AND	(zero page),Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
